Fecha de creación,Billetera,Frecuencia,Por hora,Monto original,Moneda original,Monto final,Moneda final,Precio,Precio inverso,Fecha de liquidación,ID del plan,Estado
25-12-25 00:10:34,SPOT_FUNDING,WEEKLY,- -,,USDC,,ETH,- -,- -,25-12-25 00:10:34,11751420,FAILED
25-12-25 00:10:33,SPOT_FUNDING,WEEKLY,- -,,USDC,,BTC,- -,- -,25-12-25 00:10:33,11751419,FAILED
25-12-18 00:10:33,SPOT_FUNDING,WEEKLY,- -,,USDC,,BTC,- -,- -,25-12-18 00:10:33,11751419,FAILED
25-12-18 00:10:33,SPOT_FUNDING,WEEKLY,- -,,USDC,,ETH,- -,- -,25-12-18 00:10:33,11751420,FAILED
25-12-11 00:10:34,SPOT_FUNDING,WEEKLY,- -,,USDC,,ETH,- -,- -,25-12-11 00:10:34,11751420,FAILED
25-12-11 00:10:33,SPOT_FUNDING,WEEKLY,- -,,USDC,,BTC,- -,- -,25-12-11 00:10:34,11751419,FAILED
25-12-04 00:10:47,SPOT_FUNDING,WEEKLY,- -,,USDC,,ETH,- -,- -,25-12-04 00:10:47,11751420,FAILED
25-12-04 00:10:46,SPOT_FUNDING,WEEKLY,- -,,USDC,,BTC,- -,- -,25-12-04 00:10:47,11751419,FAILED
25-11-27 00:10:41,SPOT_FUNDING,WEEKLY,- -,25,USDC,0.00027627,BTC,90491.85067399,0.00001105,25-11-27 00:10:41,11751419,SUCCESS
25-11-27 00:10:41,SPOT_FUNDING,WEEKLY,- -,10,USDC,0.0032984,ETH,3031.78025119,0.00032984,25-11-27 00:10:42,11751420,SUCCESS
25-11-20 00:10:36,SPOT_FUNDING,WEEKLY,- -,,USDC,,ETH,- -,- -,25-11-20 00:10:36,11751420,FAILED
25-11-20 00:10:35,SPOT_FUNDING,WEEKLY,- -,,USDC,,BTC,- -,- -,25-11-20 00:10:35,11751419,FAILED
25-11-13 00:10:35,SPOT_FUNDING,WEEKLY,- -,,USDC,,ETH,- -,- -,25-11-13 00:10:35,11751420,FAILED
25-11-13 00:10:34,SPOT_FUNDING,WEEKLY,- -,,USDC,,BTC,- -,- -,25-11-13 00:10:34,11751419,FAILED
25-11-06 00:10:35,SPOT_FUNDING,WEEKLY,- -,,USDC,,BTC,- -,- -,25-11-06 00:10:35,11751419,FAILED
25-11-06 00:10:35,SPOT_FUNDING,WEEKLY,- -,,USDC,,ETH,- -,- -,25-11-06 00:10:35,11751420,FAILED
25-10-30 00:10:20,SPOT_FUNDING,WEEKLY,- -,,USDC,,BTC,- -,- -,25-10-30 00:10:20,11751419,FAILED
25-10-30 00:10:20,SPOT_FUNDING,WEEKLY,- -,,USDC,,ETH,- -,- -,25-10-30 00:10:20,11751420,FAILED
25-10-23 00:10:32,SPOT_FUNDING,WEEKLY,- -,10,USDC,0.0026547,ETH,3766.90046823,0.00026547,25-10-23 00:10:32,11751420,SUCCESS
25-10-23 00:10:31,SPOT_FUNDING,WEEKLY,- -,25,USDC,0.00023218,BTC,107675.92911218,0.00000929,25-10-23 00:10:31,11751419,SUCCESS
25-10-16 00:10:29,SPOT_FUNDING,WEEKLY,- -,,USDC,,ETH,- -,- -,25-10-16 00:10:29,11751420,FAILED
25-10-16 00:10:28,SPOT_FUNDING,WEEKLY,- -,,USDC,,BTC,- -,- -,25-10-16 00:10:28,11751419,FAILED
25-10-09 00:10:29,SPOT_FUNDING,WEEKLY,- -,10,USDC,0.00219258,ETH,4560.83532912,0.00021926,25-10-09 00:10:29,11751420,SUCCESS
25-10-09 00:10:28,SPOT_FUNDING,WEEKLY,- -,25,USDC,0.00020225,BTC,123611.17969483,0.00000809,25-10-09 00:10:28,11751419,SUCCESS
25-10-02 00:10:35,SPOT_FUNDING,WEEKLY,- -,10,USDC,0.00229848,ETH,4350.70356128,0.00022985,25-10-02 00:10:36,11751420,SUCCESS
25-10-02 00:10:34,SPOT_FUNDING,WEEKLY,- -,25,USDC,0.00021093,BTC,118525.33257855,0.00000844,25-10-02 00:10:35,11751419,SUCCESS
25-09-25 00:10:35,SPOT_FUNDING,WEEKLY,- -,10,USDC,0.00239162,ETH,4181.26732311,0.00023916,25-09-25 00:10:36,11751420,SUCCESS
25-09-25 00:10:34,SPOT_FUNDING,WEEKLY,- -,25,USDC,0.00021893,BTC,114189.2506366,0.00000876,25-09-25 00:10:35,11751419,SUCCESS
25-09-18 00:10:36,SPOT_FUNDING,WEEKLY,- -,10,USDC,0.00218671,ETH,4573.07236116,0.00021867,25-09-18 00:10:36,11751420,SUCCESS
25-09-18 00:10:34,SPOT_FUNDING,WEEKLY,- -,25,USDC,0.00021369,BTC,116991.35205505,0.00000855,25-09-18 00:10:35,11751419,SUCCESS
