Fecha de suscripción,Nombre del Producto,Moneda,Cantidad,Tipo,De,Estado
25-12-31 09:06:57,ETH,ETH,0.00000013,Auto,SPOT,Success
25-12-31 08:14:25,BTC,BTC,0.00000006,Auto,SPOT,Success
25-12-30 23:58:53,ETH,ETH,0.00333867,Auto,SPOT,Success
25-12-30 23:08:54,BTC,BTC,0.00028175,Auto,SPOT,Success
25-12-30 12:12:42,USDC,USDC,0.9565765,Normal,SPOT,Success
25-12-30 09:03:49,ETH,ETH,0.00000013,Auto,SPOT,Success
25-12-30 08:11:12,BTC,BTC,0.00000006,Auto,SPOT,Success
25-12-29 09:12:45,ETH,ETH,0.00000013,Auto,SPOT,Success
25-12-29 08:16:34,BTC,BTC,0.00000006,Auto,SPOT,Success
25-12-28 09:11:41,ETH,ETH,0.00000013,Auto,SPOT,Success
25-12-28 08:18:20,BTC,BTC,0.00000006,Auto,SPOT,Success
25-12-27 09:15:03,ETH,ETH,0.00000013,Auto,SPOT,Success
25-12-27 08:21:22,BTC,BTC,0.00000006,Auto,SPOT,Success
25-12-26 09:14:04,ETH,ETH,0.00000013,Auto,SPOT,Success
25-12-26 08:20:51,BTC,BTC,0.00000006,Auto,SPOT,Success
25-12-25 09:08:58,ETH,ETH,0.00000012,Auto,SPOT,Success
25-12-25 08:14:24,BTC,BTC,0.00000006,Auto,SPOT,Success
25-12-25 00:01:10,ETH,ETH,0.00338253,Auto,SPOT,Success
25-12-24 23:10:43,BTC,BTC,0.0002845,Auto,SPOT,Success
25-12-24 08:57:28,ETH,ETH,0.00000012,Auto,SPOT,Success
25-12-24 08:05:30,BTC,BTC,0.00000006,Auto,SPOT,Success
25-12-23 09:01:07,ETH,ETH,0.00000012,Auto,SPOT,Success
25-12-23 08:08:28,BTC,BTC,0.00000006,Auto,SPOT,Success
25-12-22 09:01:17,ETH,ETH,0.00000012,Auto,SPOT,Success
25-12-22 08:08:23,BTC,BTC,0.00000006,Auto,SPOT,Success
25-12-21 09:02:52,ETH,ETH,0.00000012,Auto,SPOT,Success
