Fecha de reembolso/canje,Nombre del Producto,Moneda,Principal reembolsado,Método,Canjear en,Estado
25-12-30 12:11:17,USDC,USDC,35,Fast redemption,SPOT,Success
25-12-24 12:33:02,USDC,USDC,35,Fast redemption,SPOT,Success
25-12-15 23:48:30,USDC,USDC,35,Fast redemption,SPOT,Success
25-12-08 22:49:37,USDC,USDC,35,Fast redemption,SPOT,Success
25-11-06 10:27:53,USDC,USDC,35,Fast redemption,SPOT,Success
25-11-06 10:20:34,USDC,USDC,35,Fast redemption,SPOT,Success
25-10-21 21:48:05,USDC,USDC,35,Fast redemption,SPOT,Success
25-10-17 09:42:20,ETH,ETH,0.1127,Fast redemption,SPOT,Success
25-10-16 10:10:45,USDC,USDC,35,Fast redemption,SPOT,Success
25-10-06 22:07:16,USDC,USDC,35,Fast redemption,SPOT,Success
25-09-28 22:17:58,USDC,USDC,35,Fast redemption,SPOT,Success
25-09-21 17:45:55,USDC,USDC,35,Fast redemption,SPOT,Success
25-09-17 20:51:25,USDC,USDC,205.55286577,Fast redemption,SPOT,Success
25-09-16 23:07:35,USDC,USDC,205.54247671,Fast redemption,SPOT,Success
25-09-03 17:01:15,USDC,USDC,25,Fast redemption,SPOT,Success
25-08-25 23:44:02,USDC,USDC,25,Fast redemption,SPOT,Success
25-08-19 09:13:10,USDC,USDC,25,Fast redemption,SPOT,Success
25-08-11 18:06:55,USDC,USDC,50,Fast redemption,SPOT,Success
25-08-04 16:34:22,USDC,USDC,45,Fast redemption,SPOT,Success
25-08-02 13:53:16,USDC,USDC,17.38,Fast redemption,SPOT,Success
25-07-10 22:09:45,USDC,USDC,100,Fast redemption,SPOT,Success
25-06-28 00:31:19,USDC,USDC,100,Fast redemption,SPOT,Success
25-02-07 13:29:43,USDT,USDT,21.32737552,Fast redemption,SPOT,Success
25-02-07 13:29:20,GMT,GMT,1.02574955,Fast redemption,SPOT,Success
